Ref,Surveillance Type,Tower Name,Current Tower Type,Tower Subcategory,State of Tower,Sector,State of Sector,Sector Acronym,Station/AOR,Vendor,Notes,Latitude,Longitude,Google Satellite,Bing Aerial,Arcgis,Streetview,Photo Evidence,Source Doc,Source Doc 2,Source Doc 3,Source Doc 4,,,,,,,,,,,,,,,,,,
Tower011,Tower,EPT-EPS-02 Asarco West2,Remote Video Surveillance System (RVSS),Relocatable Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.77667218,-106.5222216,https://goo.gl/maps/DMZd78qwdDZVYGr37,,,"https://www.google.com/maps/@31.776252,-106.5228941,3a,45.9y,59.39h,112.05t/data=!3m7!1e1!3m5!1sYz5gdf9uK1JG2DTig7Wsjw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DYz5gdf9uK1JG2DTig7Wsjw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D129.2502%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower012,Tower,EPT-EPS-03 Asarco East2,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.7731,-106.51704,https://goo.gl/maps/E5LmTQCqEC5ZeoZj7,,,"https://www.google.com/maps/@31.7725847,-106.5171862,3a,75y,24.87h,98.16t/data=!3m7!1e1!3m5!1s-NEeUq97vTZrwvAgExmfJQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D-NEeUq97vTZrwvAgExmfJQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D63.055218%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower013,Tower,EPT-EPS-04 Hacienda Restaurant2,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.76177,-106.50954,https://goo.gl/maps/tQDD8FCxEq6DFee5A,,,"https://www.google.com/maps/@31.7624823,-106.5086359,3a,21.7y,228.71h,91.99t/data=!3m6!1e1!3m4!1sf7HSaDds0bOTgK5JtRJHCA!2e0!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower014,Tower,"EPT-EPS-05 Portfirio
Diaz2",Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.76274935,-106.5069144,https://goo.gl/maps/HjEMZtEanT8hVgsL6,,,"https://www.google.com/maps/@31.7625638,-106.5065236,3a,75y,299.79h,89.42t/data=!3m7!1e1!3m5!1s0Q_X4o2AIJYNlp_ze930Xg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D0Q_X4o2AIJYNlp_ze930Xg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D181.83827%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower015,Tower,EPT-EPS-07 PDN Bridge2,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.749191,-106.486257,https://goo.gl/maps/bbrtCXdWQ8gK7Z5p9,,,"https://www.google.com/maps/@31.7487054,-106.4859625,3a,69y,328.31h,104.11t/data=!3m6!1e1!3m4!1s5rsz0ZMlFWznf5dTQA6TPw!2e0!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower016,Tower,EPT-EPS-08 Park Street2,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.75021,-106.47878,https://goo.gl/maps/pTy3H9T7xq6X6vAu9,,,"https://www.google.com/maps/@31.7502881,-106.47871,3a,75y,221.03h,115.81t/data=!3m7!1e1!3m5!1s9ShSOhcfZK7IjmONmWdYDQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D9ShSOhcfZK7IjmONmWdYDQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D252.2306%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower017,Tower,EPT-EPS-09 2nd Street2,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.75982,-106.4678,https://goo.gl/maps/wds3KTDvBC1iLYwX9,,,"https://www.google.com/maps/@31.7600992,-106.4680501,3a,76.6y,145.96h,85.86t/data=!3m7!1e1!3m5!1sRsSZ2ua178Mw-D9-T_N6Iw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DRsSZ2ua178Mw-D9-T_N6Iw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D217.15167%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower018,Tower,EPT-EPS-11 Boone Street2,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.76239,-106.44494,https://goo.gl/maps/6x5ZNoEeCpsZeZSN6,,,"https://www.google.com/maps/@31.7622663,-106.4450444,3a,84.5y,41.39h,104.26t/data=!3m7!1e1!3m5!1szVLGDybuz4RGS7cN3dHmwA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DzVLGDybuz4RGS7cN3dHmwA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D1.3188595%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower019,Tower,"EPT-EPS-12 Modesto
Gomez2",Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.75643,-106.435719,https://goo.gl/maps/vwnTtQGp4MnzJSWNA,,,"https://www.google.com/maps/@31.756352,-106.435798,3a,75y,41.48h,115.25t/data=!3m7!1e1!3m5!1s5ku6uUFntdHdVZ8DO5HhVQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D5ku6uUFntdHdVZ8DO5HhVQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D114.827446%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower020,Tower,EPT-EPS-13 Fonseca,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.75447,-106.4216,https://goo.gl/maps/KiWaPzsMmrktFrv1A,,,"https://www.google.com/maps/@31.7544131,-106.4216232,3a,75y,20.66h,128.9t/data=!3m7!1e1!3m5!1syJXCwkEzubfSF0gPR4H1uw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DyJXCwkEzubfSF0gPR4H1uw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D92.455185%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower021,Tower,EPT-EPS-14 Ascarate,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.74516,-106.40219,https://goo.gl/maps/dJ8YEdAYoaCGNPQy5,,,"https://www.google.com/maps/@31.745178,-106.4022327,3a,75y,43.05h,136.38t/data=!3m7!1e1!3m5!1s8kdGcQ-Jw2G5exyeAXWi_Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D8kdGcQ-Jw2G5exyeAXWi_Q%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D133.65149%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower022,Tower,Unknown,Autonomous Surveillance Tower (AST),,New Mexico,El Paso Sector,Texas,EPT,Santa Teresa Station,Anduril,,31.78961851,-106.5828784,,https://livingatlas.arcgis.com/wayback/#active=34007&mapCenter=-106.58294%2C31.78953%2C20,,"https://www.google.com/maps/@31.791754,-106.578258,3a,15y,241.57h,100.99t/data=!3m6!1e1!3m4!1sVRffc1aEUWeBA75OKVeGFQ!2e0!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower023,Tower,EPT-STN-03,Uncategorized,,New Mexico,El Paso Sector,Texas,EPT,Santa Teresa Station,,,31.82065,-106.69981,https://goo.gl/maps/PffoxyzGzdgqArub6,,,https://maps.app.goo.gl/yC9t3GARwd5XFp1V6,,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower024,Tower,EPT-YST-01 Midway,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.72748,-106.37595,https://goo.gl/maps/44oibtwnvxuWAEBb9,,,"https://www.google.com/maps/@31.7274599,-106.3760816,3a,75y,73.61h,125.86t/data=!3m7!1e1!3m5!1scC4frS7qzoycxFAgV0WOIg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DcC4frS7qzoycxFAgV0WOIg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D29.11033%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower025,Tower,EPT-YST-02 Yarborough,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.71138,-106.36686,https://goo.gl/maps/1piP2wbKPbLSX94n8,,,"https://www.google.com/maps/@31.7112871,-106.3667874,3a,75y,319.65h,122.7t/data=!3m6!1e1!3m4!1sDUPJVVptyX878mpxtICrIA!2e0!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower026,Tower,EPT-YST-03 Levarios,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.70263,-106.35506,https://goo.gl/maps/H53b8h15u9mzPxLJ8,,,"https://www.google.com/maps/@31.7025579,-106.3550201,3a,75y,311.49h,127.03t/data=!3m7!1e1!3m5!1sy7OV5cfvuSHPMiX5jwqVHg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dy7OV5cfvuSHPMiX5jwqVHg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D305.33185%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower027,Tower,EPT-YST-04 Padres,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,Previous an RVS system,31.6876,-106.34303,https://goo.gl/maps/NBgCApwisTeUbVwN9,,,"https://www.google.com/maps/@31.6875509,-106.3431291,3a,75y,55.44h,131.79t/data=!3m7!1e1!3m5!1szISOS-4yzdS_gat0oaGj5A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DzISOS-4yzdS_gat0oaGj5A%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D158.48685%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,https://www.documentcloud.org/documents/24483794-mgmt_nepa_fea-fonsirvsyseltatxsept2000,,,,,,,,,,,,,,,,,,,,
Tower028,Tower,EPT-YST-05 POE2,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,Ysleta Station,General Dynamics,,31.67235444,-106.3362643,https://goo.gl/maps/8G6qfkLyYQoUiGPw8,,,"https://www.google.com/maps/@31.6745005,-106.3361579,3a,15y,183.72h,93.31t/data=!3m7!1e1!3m5!1sreDSeWxGkLixdKLHLhIE4A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DreDSeWxGkLixdKLHLhIE4A%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D154.19745%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
Tower029,Tower,EPT-YST-06 Headgates,Remote Video Surveillance System (RVSS),Monopole Tower,Texas,El Paso Sector,Texas,EPT,El Paso Station,General Dynamics,,31.65425,-106.32555,https://goo.gl/maps/9CbmXum1n8k1LE9H7,,,"https://www.google.com/maps/@31.6537751,-106.3281521,3a,15y,77.27h,91.12t/data=!3m7!1e1!3m5!1s1FQ4vtMtOETmlXw1js-jiw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D1FQ4vtMtOETmlXw1js-jiw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D129.19484%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",,https://www.documentcloud.org/documents/22088922-drafttpicj-05geographiclaydownattachment,,,,,,,,,,,,,,,,,,,,,
