"Agency","Award Date","Vendor","Contract","Contract-ID","Subject","Current Contract Value","Status","Completion Date","Procurement Method","Category","NGIP Codes and Categories","Vendor ID"
"Department of Public Safety","2024-01-18","UNITED RENTALS","0000000000000000000003656","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003656' target='_blank'>0000000000000000000003656</a>","Mini Mobile Contract FY24","$100,000","Active","08/31/2027","Competitive","Goods","971-70 Rental or Lease","""18609338357700"""
"Department of Public Safety","2024-01-22","SHIMADZU SCIENTIFIC INSTRUMENTS INC","0000000000000000000003663","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003663' target='_blank'>0000000000000000000003663</a>","Gas Chromatographs","$346,175","Completed","08/31/2024","Competitive","Goods","493-11 Goods","""15210359566000"""
"Department of Public Safety","2024-01-23","CALDWELL AUTOMOTIVE PARTNERS LTD","0000000000000000000003633","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003633' target='_blank'>0000000000000000000003633</a>","X120 Chevrolet Equinox x 40","$1,263,192","Completed","08/31/2024","Competitive","Goods","71 -0  Goods","""11418568728000"""
"Department of Public Safety","2024-01-25","SAMSARA INC","0000000000000000000003659","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003659' target='_blank'>0000000000000000000003659</a>","Telematic Devices","$7,773,374","Active","01/24/2029","Competitive","Goods","55 -35 Goods","""14731000395003"""
"Department of Public Safety","2024-01-25","BULLCHASE","0000000000000000000003665","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003665' target='_blank'>0000000000000000000003665</a>","batteries","$85,966","Completed","08/31/2024","Competitive","Goods","450-6  Goods","""12637188348001"""
"Department of Public Safety","2024-01-25","NETSYNC NETWORK SOLUTIONS","0000000000000000000003667","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003667' target='_blank'>0000000000000000000003667</a>","AppDynamics Software","$198,601","Active","01/24/2027","Competitive","Information","920-39 Information Technology","""13200303298004"""
"Department of Public Safety","2024-01-25","BEARCOM","0000000000000000000003668","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003668' target='_blank'>0000000000000000000003668</a>","F150 Triband Antennas","$54,999","Completed","08/31/2024","Non-Comp, Emergency","Goods","726-88 Goods","""17518937796001"""
"Department of Public Safety","2024-01-25","ARCADIAN INC","0000000000000000000003672","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003672' target='_blank'>0000000000000000000003672</a>","ARCADIAN ANTENNAS","$137,958","Completed","08/31/2024","Non-Comp, Direct Award","Goods","726-0  Goods","""12015305779000"""
"Department of Public Safety","2024-01-25","GALLS LLC","0000000000000000000003674","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003674' target='_blank'>0000000000000000000003674</a>","THP Grant Body Armor","$1,941,500","Completed","08/31/2024","Competitive","Goods","680-8  Goods","""12035459895003"""
"Department of Public Safety","2024-01-25","LEEDS PRECISION INSTRUMENTS INC","0000000000000000000003675","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003675' target='_blank'>0000000000000000000003675</a>","CLD-Comparison Microscope","$141,370","Completed","08/31/2024","Non-Comp, Emergency","Goods","490-58 Goods","""14115600828002"""
