Facility_Name,Facility_Type,Administrative_Control_Court,Court_Address
Salt Lake County Jail,Jail,Salt Lake City Immigration Court,"2975 Decker Lake Drive, Suite 200, West Valley City, UT 84119-6094"
Utah County Jail,Jail,Salt Lake City Immigration Court,"2975 Decker Lake Drive, Suite 200, West Valley City, UT 84119-6094"
Summit County Jail,Jail,Salt Lake City Immigration Court,"2975 Decker Lake Drive, Suite 200, West Valley City, UT 84119-6094"
Davis County Jail,Jail,Salt Lake City Immigration Court,"2975 Decker Lake Drive, Suite 200, West Valley City, UT 84119-6094"
Weber County Jail,Jail,Salt Lake City Immigration Court,"2975 Decker Lake Drive, Suite 200, West Valley City, UT 84119-6094"
Box Elder County Jail,Jail,Salt Lake City Immigration Court,"2975 Decker Lake Drive, Suite 200, West Valley City, UT 84119-6094"
Cache County Jail,Jail,Salt Lake City Immigration Court,"2975 Decker Lake Drive, Suite 200, West Valley City, UT 84119-6094"
Uinta County Jail,Jail,Salt Lake City Immigration Court,"2975 Decker Lake Drive, Suite 200, West Valley City, UT 84119-6094"
"San Antonio, TX - DHS District Office",DHS Office,San Antonio Immigration Court,"800 Dolorosa Street Suite 300, San Antonio, TX 78207"
"Compass Connections TFC, San Antonio, TX",Facility,San Antonio Immigration Court,"800 Dolorosa Street Suite 300, San Antonio, TX 78207"
"San Diego, CA - DHS District Office",DHS Office,San Diego Immigration Court,"880 Front Street Suite 4240, San Diego, CA 92101"
"San Ysidro, CA, Port of Entry",Port of Entry,San Diego Immigration Court,"880 Front Street Suite 4240, San Diego, CA 92101"
"Donovan California State Prison, San Diego, CA",Correctional Facility,San Diego Immigration Court,"880 Front Street Suite 4240, San Diego, CA 92101"
"San Francisco, CA - DHS District Office",DHS Office,San Francisco Immigration Court,"100 Montgomery Street, Suite 800, San Francisco, CA 94104"
"San Francisco Detention Center, San Francisco, CA",Detention Facility,San Francisco Immigration Court,"100 Montgomery Street, Suite 800, San Francisco, CA 94104"
"Santa Ana, CA - DHS District Office",DHS Office,Santa Ana Immigration Court,"1241 E. Dyer Road, Suite 200, Santa Ana, CA 92705"
"Seattle, WA - DHS District Office",DHS Office,Seattle Immigration Court,"915 2nd Avenue, Suite 613, Seattle, WA 98174"
Airway Heights Correctional Center,Correctional Facility,Seattle Immigration Court,"915 2nd Avenue, Suite 613, Seattle, WA 98174"
Washington Department of Corrections (Monroe),Correctional Facility,Seattle Immigration Court,"915 2nd Avenue, Suite 613, Seattle, WA 98174"
Washington Department of Corrections (Walla Walla),Correctional Facility,Seattle Immigration Court,"915 2nd Avenue, Suite 613, Seattle, WA 98174"
"Federal Detention Center, Sea Tac",Federal Detention Facility,Seattle Immigration Court,"915 2nd Avenue, Suite 613, Seattle, WA 98174"
"Airway Heights Corrections Center, Airway Heights, WA",Correctional Facility,Seattle Immigration Court,"915 2nd Avenue, Suite 613, Seattle, WA 98174"
Peace Arch Port of Entry,Port of Entry,Seattle Immigration Court,"915 2nd Avenue, Suite 613, Seattle, WA 98174"
"Washington DOC - Monroe, Monroe, WA",Correctional Facility,Seattle Immigration Court,"915 2nd Avenue, Suite 613, Seattle, WA 98174"
"Washington State Penitentiary, Walla Walla, WA",Correctional Facility,Seattle Immigration Court,"915 2nd Avenue, Suite 613, Seattle, WA 98174"
"Arlington, VA - DHS District Office",DHS Office,Sterling Immigration Court,"21400 Ridgetop Circle, Sterling VA 20166"
"Seattle, WA - DHS District Office",DHS Office,Tacoma Immigration Court,"1623 East J Street Suite 3, Tacoma, WA 98421"
Alaska Department of Corrections,Correctional Facility,Tacoma Immigration Court,"1623 East J Street Suite 3, Tacoma, WA 98421"
Eastern Oregon Corrections (Pendleton),Correctional Facility,Tacoma Immigration Court,"1623 East J Street Suite 3, Tacoma, WA 98421"
Marion County Correctional Facility,Correctional Facility,Tacoma Immigration Court,"1623 East J Street Suite 3, Tacoma, WA 98421"
Oregon State Penitentiary (Salem),Correctional Facility,Tacoma Immigration Court,"1623 East J Street Suite 3, Tacoma, WA 98421"
Idaho Department of Corrections,Correctional Facility,Tacoma Immigration Court,"1623 East J Street Suite 3, Tacoma, WA 98421"
Montana Department of Corrections,Correctional Facility,Tacoma Immigration Court,"1623 East J Street Suite 3, Tacoma, WA 98421"
"Tucson, AZ - DHS Sub-Office",DHS Office,Tucson Immigration Court,"300 West Congress, Suite 300, Tucson, AZ 85701"
Arizona Department of Corrections (Tucson),Correctional Facility,Tucson Immigration Court,"300 West Congress, Suite 300, Tucson, AZ 85701"
"Arizona Department of Corrections - Wilmot, Tucson, AZ",Correctional Facility,Tucson Immigration Court,"300 West Congress, Suite 300, Tucson, AZ 85701"
New York State Department of Correctional Services,Correctional Facility,Ulster Immigration Court,"Ulster Correctional Facility, 750 Berme Road, Napanoch, NY 12458"
"Broome County Jail, Binghamton, NY",Jail,Ulster Immigration Court,"Ulster Correctional Facility, 750 Berme Road, Napanoch, NY 12458"
Orange County (New York) Jail,Jail,New York - Varick Immigration Court,"201 Varick Street Room 507, 5th Floor, New York, NY 10014"
"Metropolitan Detention Center, Brooklyn, NY",Detention Facility,New York - Varick Immigration Court,"201 Varick Street Room 507, 5th Floor, New York, NY 10014"
26 Fed Plaza Holding Area,Holding Area,New York - Varick Immigration Court,"201 Varick Street Room 507, 5th Floor, New York, NY 10014"
Nassau County Jail,Jail,New York - Varick Immigration Court,"201 Varick Street Room 507, 5th Floor, New York, NY 10014"
