STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM
TEXAS,Denton County Sheriff's Office,County,Denton County,Task Force Model,1/26/2026,link,
TEXAS,DeWitt County Sheriff’s Office,County,DeWitt County,Jail Enforcement Model,6/8/2020,link,
TEXAS,DeWitt County Sheriff’s Office,County,DeWitt County,Warrant Service Officer,2/26/2025,link,
TEXAS,Dickens County Sheriff's Office,County,Dickens County,Warrant Service Officer,6/25/2025,link,
TEXAS,Dimmit County Sheriff's Office ,County,Dimmit County,Jail Enforcement Model,12/10/2025,link,
TEXAS,Dimmit County Sheriff's Office ,County,Dimmit County,Task Force Model,12/10/2025,link,
TEXAS,Dimmit County Sheriff's Office ,County,Dimmit County,Warrant Service Officer,12/10/2025,link,
TEXAS,East Mountain Police Department,Municipality ,Upshur County,Task Force Model,1/26/2026,link,
TEXAS,Eastland County Sheriff's Office ,County ,Eastland County ,Warrant Service Officer,9/22/2025,link,
TEXAS,Ector County Sheriff's Office,County ,Ector County ,Warrant Service Officer,8/28/2025,link,
TEXAS,Ellis County Sheriff's Office,County,Ellis County,Jail Enforcement Model,4/16/2025,link,
TEXAS,Falfurrias Police Department ,Municipality,Brooks County,Task Force Model,11/4/2025,link,
TEXAS,Falls County Sheriff's Office,County,Falls County,Task Force Model,3/25/2025,link,
TEXAS,Fannin County Criminal District Attorney's Office,County,Fannin County,Task Force Model,1/26/2026,link,
TEXAS,Fannin County Sheriff's Office,County,Fannin County,Task Force Model,1/26/2026,link,
TEXAS,Fayette County Sheriff's Office,County,Fayette County ,Task Force Model,11/14/2025,link,
TEXAS,Fayette County Sheriff's Office,County,Fayette County ,Warrant Service Officer,3/21/2025,link,
TEXAS,Fort Bend County Sheriff's Office,County,Fort Bend County,Jail Enforcement Model,5/28/2025,link,
TEXAS,Fort Bend County Sheriff's Office,County,Fort Bend County,Warrant Service Officer,5/28/2025,link,
TEXAS,Franklin County Sheriff's Office,County,Franklin County,Jail Enforcement Model,5/20/2025,link,
TEXAS,Freer Police Department ,Municipality,Duval County,Task Force Model,11/6/2025,link,
TEXAS,Freestone County Constable Precinct 2,Municipality,Freestone County ,Task Force Model,12/8/2025,link,
TEXAS,Freestone County Constable Precinct 3,County,Freestone County,Task Force Model,1/26/2026,link,
TEXAS,Frio County Sheriff's Office ,County ,Frio County ,Jail Enforcement Model ,9/22/2025,link,
TEXAS,Frio County Sheriff's Office ,County ,Frio County ,Task Force Model,9/22/2025,link,
TEXAS,Frio County Sheriff's Office ,County ,Frio County ,Warrant Service Officer,9/22/2025,link,
TEXAS,Gaines County Sheriff's Office,County,Gaines County,Warrant Service Officer,7/31/2025,link,
TEXAS,Galveston County Constable Precinct 2,Municipality,Galveston County,Task Force Model,9/22/2025,link,
TEXAS,Galveston County Constable's Office Pct.1,Municipality,Galveston County,Task Force Model,9/9/2025,link,
TEXAS,Galveston County Constable's Office Pct.4,Municipality,Galveston County,Task Force Model,9/9/2025,link,
TEXAS,Galveston County Sheriff’s Office,County,Galveston County,Jail Enforcement Model,6/8/2020,link,
TEXAS,Galveston County Sheriff's Office,County,Galveston County,Task Force Model,7/23/2025,link,
TEXAS,Galveston County Sheriff's Office,County,Galveston County,Warrant Service Officer,3/26/2025,link,
TEXAS,Garza County Sheriff's Office,County,Garza County,Warrant Service Officer,7/7/2025,link,
TEXAS,Goliad County Sheriff’s Office,County,Goliad County,Jail Enforcement Model,6/9/2020,link,
TEXAS,Goliad County Sheriff's Office,County,Goliad County ,Task Force Model,2/18/2025,link,
TEXAS,Goliad County Sheriff's Office,County,Goliad County ,Warrant Service Officer,2/18/2025,link,
TEXAS,Gonzales County Sheriff's Office,County,Gonzales County,Jail Enforcement Model,2/10/2026,link pending,
TEXAS,Gonzales County Sheriff's Office,County,Gonzales County,Task Force Model,2/11/2026,link pending,
TEXAS,Gonzales County Sheriff's Office,County,Gonzales County,Warrant Service Officer,4/2/2025,link,
