STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM
TEXAS,Wharton County Sheriff's Office,County,Wharton County,Warrant Service Officer,4/2/2025,link,
TEXAS,Wichita County Sheriff's Office,County,Wichita County,Task Force Model,11/4/2025,link,
TEXAS,Wichita County Sheriff's Office,County,Wichita County,Warrant Service Officer,4/16/2025,link,
TEXAS,Wilbarger County Sheriff's Office ,County ,Wilbarger County ,Warrant Service Officer,9/22/2025,link,
TEXAS,Williamson County Sheriff's Office ,County ,Williamson County ,Warrant Service Officer,9/22/2025,link,
TEXAS,Wilson County Sheriff's Office ,County ,Wilson County ,Task Force Model,9/9/2025,link,
TEXAS,Winkler County Sheriff's Office,County,Winkler County,Jail Enforcement Model,3/21/2025,link,
TEXAS,Winkler County Sheriff's Office,County,Winkler County,Task Force Model,4/14/2025,link,
TEXAS,Winkler County Sheriff's Office,County,Winkler County,Warrant Service Officer,3/26/2025,link,
TEXAS,Wortham Police Department,Municipality,Freestone County,Task Force Model,12/18/2025,link,
TEXAS,Yoakum County Sheriff's Office,County,Yoakum County,Warrant Service Officer,6/25/2025,link,
TEXAS,Yoakum Police Department,County,Yoakum County,Task Force Model,11/24/2025,link,
TEXAS,Young County Sheriff's Office,County,Young County,Task Force Model,1/26/2026,link,
TEXAS,Zapata County Sheriff's Office ,County ,Zapata County,Jail Enforcement Model ,11/6/2025,link,
TEXAS,Zapata County Sheriff's Office ,County ,Zapata County,Task Force Model,11/6/2025,link,
TEXAS ,Sabine County Sheriff's Office,County ,Sabine County,Task Force Model,9/9/2025,link,
TEXAS ,Sabine County Sheriff's Office,County ,Sabine County,Warrant Service Officer,9/9/2025,link,
TEXAS ,Washington County Sheriff's Office,County ,Washington County,Warrant Service Officer,9/9/2025,link,
TEXAS ,Wheeler County Sheriff's Office,County ,Wheeler County,Warrant Service Officer,9/9/2025,link,
TEXAS ,Wise County Sheriff's Office,County ,Wise County,Warrant Service Officer,9/9/2025,link,
